               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12314,            0.019101,             0.04121,          0.00020266,            0.096374,          0.00018766,          3.7492e-05,             0.11815,             0.01904,            0.041305,              0.0955,              0.0005,              0.0005
                   1,             0.11815,            0.020667,             0.03936,          0.00026283,             0.11699,          0.00019782,          3.8612e-05,             0.10352,            0.021071,            0.037866,            0.090056,           0.0010564,           0.0010564
                   2,             0.10824,            0.021332,            0.035675,          0.00057991,             0.20282,          0.00070279,          0.00019079,            0.097312,            0.021312,            0.034224,            0.084565,           0.0015654,           0.0015654
                   3,             0.10443,            0.021988,            0.032101,           0.0017852,             0.50233,           0.0078898,           0.0019677,            0.093343,            0.021597,            0.030892,            0.079027,           0.0020268,           0.0020268
                   4,            0.098474,            0.023285,             0.03002,           0.0026824,             0.65248,            0.018259,           0.0040616,            0.087554,             0.02174,            0.028642,            0.073441,           0.0024406,           0.0024406
                   5,            0.093574,            0.023116,            0.027185,           0.0028525,             0.70252,            0.018558,           0.0046095,            0.085303,            0.020904,            0.026614,            0.067807,            0.002807,            0.002807
                   6,            0.090906,            0.023104,            0.026181,           0.0037458,               0.915,             0.14286,            0.038672,            0.077134,              0.0208,            0.024476,            0.062126,           0.0031258,           0.0031258
                   7,            0.085779,            0.022035,            0.025008,            0.017436,             0.84219,             0.11583,            0.031445,            0.077279,            0.019403,            0.022694,            0.056397,           0.0033972,           0.0033972
                   8,            0.084833,            0.022897,            0.023343,           0.0095708,             0.92593,             0.14797,            0.038488,            0.078679,            0.018348,            0.021195,            0.050621,            0.003621,            0.003621
                   9,            0.083702,            0.020008,            0.022423,            0.038987,             0.50562,            0.047581,            0.011871,             0.08519,            0.016995,            0.020267,            0.044797,           0.0037972,           0.0037972
                  10,            0.082985,            0.021793,            0.021589,             0.27822,             0.25442,             0.19989,            0.052573,            0.079903,            0.016692,            0.018915,            0.038926,            0.003926,            0.003926
                  11,            0.077565,            0.020108,            0.019554,             0.35265,             0.31161,              0.2435,            0.067863,            0.072978,            0.017281,            0.017519,            0.033007,           0.0040072,           0.0040072
                  12,            0.076998,            0.019794,            0.019123,              0.2932,             0.35625,             0.27617,            0.086346,            0.071907,            0.016784,             0.01605,            0.027041,            0.004041,            0.004041
                  13,            0.071969,            0.018605,            0.017385,             0.30818,             0.35983,             0.28856,            0.085113,            0.068462,            0.016782,            0.014305,            0.021027,           0.0040272,           0.0040272
                  14,            0.073397,            0.017465,            0.017264,             0.30363,             0.32464,             0.29684,            0.091981,            0.074043,             0.01593,            0.013861,            0.014966,           0.0039658,           0.0039658
                  15,            0.069539,            0.018748,            0.017276,             0.31434,             0.29664,             0.31788,             0.11676,            0.071358,            0.015552,            0.013213,            0.008857,            0.003857,            0.003857
                  16,            0.071761,            0.018314,            0.015691,             0.43931,             0.37321,             0.39635,             0.15118,             0.06457,            0.016119,            0.012397,            0.003664,            0.003664,            0.003664
                  17,            0.067386,            0.018275,            0.015974,             0.36635,              0.4296,             0.39482,             0.15927,            0.062311,            0.015816,            0.013022,            0.003664,            0.003664,            0.003664
                  18,            0.066274,            0.019551,            0.014421,               0.486,             0.48752,             0.49279,             0.20981,            0.061036,            0.015678,            0.011825,            0.003268,            0.003268,            0.003268
                  19,            0.065279,            0.017576,            0.013791,             0.60748,             0.62218,             0.57472,              0.2158,            0.058774,            0.015371,           0.0096484,            0.002872,            0.002872,            0.002872
                  20,            0.061848,            0.019694,            0.013727,             0.65284,             0.64696,             0.66625,             0.26931,            0.055681,            0.015343,           0.0092758,            0.002476,            0.002476,            0.002476
                  21,            0.060546,            0.019344,             0.01396,             0.66244,             0.68502,             0.67721,             0.27525,            0.053781,            0.015049,           0.0087965,             0.00208,             0.00208,             0.00208
                  22,            0.059077,            0.019843,            0.012461,             0.69981,             0.70185,             0.73271,             0.31159,            0.052342,            0.014955,           0.0085123,            0.001684,            0.001684,            0.001684
                  23,              0.0553,            0.018426,            0.012667,             0.65876,             0.76688,             0.76879,             0.33774,            0.049003,            0.014858,           0.0080951,            0.001288,            0.001288,            0.001288
                  24,            0.054656,            0.016728,            0.011688,             0.68683,             0.77234,             0.77867,              0.3493,             0.04847,            0.014823,            0.008029,            0.000892,            0.000892,            0.000892
